"country","state","lat","long","week","population","confirmed","death","prevalence","log_prevalence","prev_day_total","new_cases","incidence","log_incidence","prev_day_actual"
"US","Kansas",38.48119447,-98.08607292,2020-04-20,2913314,3277,121,0.00112483583987171,-2.29139952694352,1905,1372,0.000470941340342991,-2.2978867341844,561
"US","Kansas",38.48119447,-98.08607292,2020-04-27,2913314,5156,144,0.0017698057950499,-2.28504182205319,3277,1879,0.000644969955178192,-2.29615610375193,1372
"US","Kansas",38.48119447,-98.08607292,2020-05-04,2913314,6951,174,0.00238594260694179,-2.27900585502947,5156,1795,0.000616136811891887,-2.2964426284953,1879
"US","Kansas",38.48119447,-98.08607292,2020-05-11,2913314,7953,195,0.00272988081614272,-2.27565225192068,6951,1002,0.000343938209200931,-2.29915161204963,1795
"US","Kansas",38.48119447,-98.08607292,2020-05-18,2913314,9004,205,0.00309063835892732,-2.27214669364423,7953,1051,0.000360757542784609,-2.29898400925827,1002
"US","Kansas",38.48119447,-98.08607292,2020-05-25,2913314,9700,215,0.00332954154615671,-2.26983196555893,9004,696,0.000238903187229389,-2.30019891032141,1051
"US","Kansas",38.48119447,-98.08607292,2020-06-01,2913314,10406,233,0.003571877250444,-2.26748944111891,9700,706,0.000242335704287282,-2.30016466754561,696
"US","Kansas",38.48119447,-98.08607292,2020-06-08,2913314,11101,245,0.0038104371859676,-2.26518876238071,10406,695,0.0002385599355236,-2.30020233466348,706
"US","Kansas",38.48119447,-98.08607292,2020-06-15,2913314,12136,257,0.00416570270145957,-2.2617723525826,11101,1035,0.000355265515491979,-2.29903873361172,695
"US","Kansas",38.48119447,-98.08607292,2020-06-22,2913314,13847,268,0.00475300637006516,-2.25615002016152,12136,1711,0.000587303668605581,-2.29672923535863,1035
"US","Kansas",38.48119447,-98.08607292,2020-06-29,2913314,16081,283,0.00551983068079857,-2.24885637519151,13847,2234,0.000766824310733412,-2.29494610141948,1711
"US","Kansas",38.48119447,-98.08607292,2020-07-06,2913314,18981,296,0.00651526062758769,-2.2394670118202,16081,2900,0.000995429946789121,-2.29268001121619,2234
"US","Kansas",38.48119447,-98.08607292,2020-07-13,2913314,21996,308,0.00755016452054258,-2.22979789355741,18981,3015,0.0010349038929549,-2.2922892387424,2900
"US","Kansas",38.48119447,-98.08607292,2020-07-20,2913314,25290,330,0.00868083563941271,-2.21933980546374,21996,3294,0.00113067111887013,-2.29134182489043,3015
"US","Kansas",38.48119447,-98.08607292,2020-07-27,2913314,27871,360,0.00956676829205503,-2.21122115945947,25290,2581,0.000885932652642317,-2.29376478004749,3294
"US","Kansas",38.48119447,-98.08607292,2020-08-03,2913314,30662,379,0.0105247838029131,-2.20251549536391,27871,2791,0.000958015510858081,-2.2930505365744,2581
"US","Kansas",38.48119447,-98.08607292,2020-08-10,2913314,33885,405,0.0116310840506722,-2.19255573689746,30662,3223,0.00110630024775908,-2.29158283790664,2791
"US","Kansas",38.48119447,-98.08607292,2020-08-17,2913314,37658,426,0.0129261727366154,-2.1810210124025,33885,3773,0.00129508868594322,-2.28971735176618,3223
"US","Kansas",38.48119447,-98.08607292,2020-08-24,2913314,41761,449,0.0143345344854691,-2.16862661483568,37658,4103,0.00140836174885371,-2.28859972821849,3773
"US","Kansas",38.48119447,-98.08607292,2020-08-31,2913314,45830,481,0.015731225676326,-2.15648479635195,41761,4069,0.00139669119085687,-2.28871481961134,4103
"US","Kansas",38.48119447,-98.08607292,2020-09-07,2913314,48766,528,0.0167390126845235,-2.14781449663027,45830,2936,0.00100778700819754,-2.2925576660218,4069
"US","Kansas",38.48119447,-98.08607292,2020-09-14,2913314,54905,595,0.0188462349063644,-2.12992476505204,48766,6139,0.00210722222184083,-2.28173181956652,2936
"US","Kansas",38.48119447,-98.08607292,2020-09-21,2913314,59596,635,0.0204564286582222,-2.11646717933867,54905,4691,0.00161019375185785,-2.28661141666737,6139
"US","Kansas",38.48119447,-98.08607292,2020-09-28,2913314,63813,690,0.0219039211015359,-2.1045220764697,59596,4217,0.0014474924433137,-2.28821393018372,4691
"US","Kansas",38.48119447,-98.08607292,2020-10-05,2913314,68984,774,0.0236788756721727,-2.09006678480391,63813,5171,0.00177495457063674,-2.28499123096375,4217
"US","Kansas",38.48119447,-98.08607292,2020-10-12,2913314,74235,859,0.0254812903792725,-2.07559861216717,68984,5251,0.00180241470709989,-2.284721455038,5171
"US","Kansas",38.48119447,-98.08607292,2020-10-19,2913314,80229,956,0.0275387411037739,-2.05933510874296,74235,5994,0.00205745072450138,-2.28221938186226,5251
"US","Kansas",38.48119447,-98.08607292,2020-10-26,2913314,90290,1025,0.0309921965157206,-2.03261752613755,80229,10061,0.00345345541194667,-2.26863347358962,5994
"US","Kansas",38.48119447,-98.08607292,2020-11-02,2913314,104622,1099,0.0359116799630936,-1.9957500162415,90290,14332,0.00491948344737299,-2.2545620472955,10061
"US","Kansas",38.48119447,-98.08607292,2020-11-09,2913314,117564,1184,0.0403540435394194,-1.96358716619083,104622,12942,0.00444236357632579,-2.25911990445817,14332
"US","Kansas",38.48119447,-98.08607292,2020-11-16,2913314,137085,1326,0.0470546600881333,-1.91695092398353,117564,19521,0.00670061654871394,-2.23772834235266,12942
"US","Kansas",38.48119447,-98.08607292,2020-11-23,2913314,155500,1422,0.0533756402502442,-1.87486520154905,137085,18415,0.00632098016211092,-2.24129264563816,19521
"US","Kentucky",37.57929932,-84.869131325,2020-01-20,4467673,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Kentucky",37.57929932,-84.869131325,2020-01-27,4467673,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Kentucky",37.57929932,-84.869131325,2020-02-03,4467673,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Kentucky",37.57929932,-84.869131325,2020-02-10,4467673,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Kentucky",37.57929932,-84.869131325,2020-02-17,4467673,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Kentucky",37.57929932,-84.869131325,2020-02-24,4467673,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0
"US","Kentucky",37.57929932,-84.869131325,2020-03-02,4467673,1,0,2.23830168412057e-07,-2.30258285469487,0,1,2.23830168412057e-07,-2.30258285469487,0
"US","Kentucky",37.57929932,-84.869131325,2020-03-09,4467673,18,0,4.02894303141703e-06,-2.30254480437533,1,17,3.80511286300497e-06,-2.30254704258934,1
"US","Kentucky",37.57929932,-84.869131325,2020-03-16,4467673,64,3,1.43251307783716e-05,-2.30244185194575,18,46,1.02961877469546e-05,-2.30248213641679,17
"US","Kentucky",37.57929932,-84.869131325,2020-03-23,4467673,369,9,8.2593332144049e-05,-2.30175950056784,64,305,6.82682013656774e-05,-2.30190264390175,46
"US","Kentucky",37.57929932,-84.869131325,2020-03-30,4467673,921,45,0.000206147585107505,-2.30052573906861,369,552,0.000123554252963455,-2.30135031311895,305
"US","Kentucky",37.57929932,-84.869131325,2020-04-06,4467673,1851,69,0.000414309641730718,-2.29845055556836,921,930,0.000208162056623213,-2.30050563599794,552
"US","Kentucky",37.57929932,-84.869131325,2020-04-13,4467673,2881,140,0.000644854715195136,-2.29615724876742,1851,1030,0.000230545073464419,-2.30028229573343,930
"US","Kentucky",37.57929932,-84.869131325,2020-04-20,4467673,4027,208,0.000901364088195354,-2.29361183250489,2881,1146,0.000256509373000217,-2.30002328350191,1030
"US","Kentucky",37.57929932,-84.869131325,2020-04-27,4467673,5068,253,0.0011343712935123,-2.29130523750392,4027,1041,0.000233007205316951,-2.30025773134928,1146
"US","Kentucky",37.57929932,-84.869131325,2020-05-04,4467673,6406,304,0.00143385605884764,-2.28834835737071,5068,1338,0.000299484765335332,-2.29959472096328,1041
"US","Kentucky",37.57929932,-84.869131325,2020-05-11,4467673,7657,334,0.00171386759953112,-2.28559162731269,6406,1251,0.000280011540683483,-2.29978889060745,1338
"US","Kentucky",37.57929932,-84.869131325,2020-05-18,4467673,8542,391,0.00191195729857579,-2.28364600217765,7657,885,0.00019808969904467,-2.3006061553929,1251
"US","Kentucky",37.57929932,-84.869131325,2020-05-25,4467673,9698,431,0.00217070497326013,-2.28111028640006,8542,1156,0.000258747674684338,-2.30000095800193,885
"US","Kentucky",37.57929932,-84.869131325,2020-06-01,4467673,11280,470,0.002524804299688,-2.27765051651161,9698,1582,0.000354099326427874,-2.29905035428587,1156
"US","Kentucky",37.57929932,-84.869131325,2020-06-08,4467673,12434,499,0.00278310431403552,-2.27513429439066,11280,1154,0.000258300014347514,-2.30000542306205,1582
"US","Kentucky",37.57929932,-84.869131325,2020-06-15,4467673,13729,526,0.00307296438212913,-2.27231814948422,12434,1295,0.000289860068093614,-2.29969068515577,1154
"US","Kentucky",37.57929932,-84.869131325,2020-06-22,4467673,15230,558,0.00340893346491563,-2.26906392349364,13729,1501,0.000335969082786498,-2.29923103331832,1295
"US","Kentucky",37.57929932,-84.869131325,2020-06-29,4467673,16372,585,0.0036645475172422,-2.26659509763582,15230,1142,0.000255614052326569,-2.30003221384147,1501
"US","Kentucky",37.57929932,-84.869131325,2020-07-06,4467673,19380,625,0.00433782866382566,-2.26012129180353,16372,3008,0.000673281146583468,-2.29587484567983,1142
"US","Kentucky",37.57929932,-84.869131325,2020-07-13,4467673,23155,670,0.00518278754958118,-2.25205560851401,19380,3775,0.000844958885755515,-2.29417100209051,3008
"US","Kentucky",37.57929932,-84.869131325,2020-07-20,4467673,27079,700,0.00606109713043009,-2.24373996289492,23155,3924,0.000878309580848912,-2.29384034419814,3775
"US","Kentucky",37.57929932,-84.869131325,2020-07-27,4467673,31185,742,0.00698014380193,-2.23511203368541,27079,4106,0.000919046671499906,-2.29343660163222,3924
"US","Kentucky",37.57929932,-84.869131325,2020-08-03,4467673,34982,773,0.00783002695139058,-2.22719911614485,31185,3797,0.00084988314946058,-2.2941221732394,4106
"US","Kentucky",37.57929932,-84.869131325,2020-08-10,4467673,38930,810,0.00871370845628138,-2.21903738005324,34982,3948,0.000883681504890801,-2.29378709408879,3797
"US","Kentucky",37.57929932,-84.869131325,2020-08-17,4467673,43066,872,0.00963947003283365,-2.21055784126196,38930,4136,0.000925761576552268,-2.29337006630626,3948
"US","Kentucky",37.57929932,-84.869131325,2020-08-24,4467673,48031,929,0.0107507868189995,-2.20047276562164,43066,4965,0.00111131678616586,-2.29153322266064,4136
"US","Kentucky",37.57929932,-84.869131325,2020-08-31,4467673,52774,996,0.0118124133077779,-2.19093269304919,48031,4743,0.00106162648877839,-2.29202478495956,4965
"US","Kentucky",37.57929932,-84.869131325,2020-09-07,4467673,56945,1060,0.0127460089402246,-2.1826176986518,52774,4171,0.00093359563244669,-2.29329244735407,4743
"US","Kentucky",37.57929932,-84.869131325,2020-09-14,4467673,61542,1111,0.0137749562244148,-2.17353284983525,56945,4597,0.00102894728419023,-2.29234819643059,4171
"US","Kentucky",37.57929932,-84.869131325,2020-09-21,4467673,66491,1157,0.0148826917278861,-2.16384374317777,61542,4949,0.00110773550347127,-2.29156864249526,4597
